id,type,latitude,longitude
node/7069816994,Bicicletários,-23.595268,-46.6845543
node/7070250270,Bicicletários,-23.5948537,-46.6847553
node/7070250271,Bicicletários,-23.5949022,-46.6849911
node/7070250272,Bicicletários,-23.594932,-46.6852147
node/7072274406,Bicicletários,-23.5397297,-46.6452943
node/7072274407,Bicicletários,-23.5398388,-46.6451764
node/7072274408,Bicicletários,-23.5400272,-46.6453807
node/7158786458,Bicicletários,-23.5476472,-46.639543
node/7200872150,Bicicletários,-23.6119362,-46.6342013
node/7619917449,Bicicletários,-23.5597318,-46.6966323
node/7796710287,Bicicletários,-23.5622579,-46.6804319
node/8117120839,Bicicletários,-23.4896528,-46.6102579
node/8278561199,Bicicletários,-23.5722629,-46.704977
node/8278561200,Bicicletários,-23.5721933,-46.7051946
node/8278625027,Bicicletários,-23.5715651,-46.7071618
node/8572668926,Bicicletários,-23.5962221,-46.6397954
node/8622638696,Bicicletários,-23.5440867,-46.6402394
node/8622695684,Bicicletários,-23.6039419,-46.6400578
node/8747340169,Bicicletários,-23.5849923,-46.6368359
node/8747340170,Bicicletários,-23.5852172,-46.637065
node/8747340172,Bicicletários,-23.5898345,-46.6351402
node/8751096311,Bicicletários,-23.5854433,-46.6374805
node/8751096312,Bicicletários,-23.5857543,-46.6380758
node/8751096313,Bicicletários,-23.5856327,-46.6378406
node/8751096314,Bicicletários,-23.5859271,-46.6384025
node/8751096315,Bicicletários,-23.5860517,-46.638634
node/8751096316,Bicicletários,-23.5863057,-46.6391045
node/8751117417,Bicicletários,-23.5864455,-46.6393603
node/8751117418,Bicicletários,-23.5869623,-46.6403238
node/8751117419,Bicicletários,-23.5872688,-46.6409608
node/8751117420,Bicicletários,-23.5879845,-46.6430866
node/8751117421,Bicicletários,-23.5881462,-46.643563
node/8751117422,Bicicletários,-23.5883316,-46.6441099
node/8751117423,Bicicletários,-23.5885669,-46.6448283
node/8751117424,Bicicletários,-23.5888941,-46.6457809
node/8751117425,Bicicletários,-23.5890544,-46.6462555
node/8751117426,Bicicletários,-23.5893993,-46.6472079
node/8751117427,Bicicletários,-23.5894452,-46.6475078
node/8901799448,Bicicletários,-23.5385482,-46.6891034
node/8905700783,Bicicletários,-23.5508007,-46.6837205
node/8910224106,Bicicletários,-23.5507787,-46.6858568
node/8978466034,Bicicletários,-23.5407546,-46.6755882
node/8978466035,Bicicletários,-23.5415037,-46.6765827
node/8978471238,Bicicletários,-23.5355616,-46.67007
node/8978471239,Bicicletários,-23.5367959,-46.6711629
node/8978471240,Bicicletários,-23.5363836,-46.6721972
node/9001375189,Bicicletários,-23.5469234,-46.6538791
node/9306471052,Bicicletários,-23.6055349,-46.6340786
node/9503721084,Bicicletários,-23.5654611,-46.7129957
node/9503750145,Bicicletários,-23.58967,-46.6184829
node/9506789989,Bicicletários,-23.5645854,-46.73001
node/9581839280,Bicicletários,-23.6405523,-46.7233501
node/9624245819,Bicicletários,-23.5499994,-46.5715624
node/9670524591,Bicicletários,-23.5596434,-46.7393495
way/303884196,Estações de bicicleta,-23.58992698,-46.6531326
way/507337664,Estações de bicicleta,-23.57650968,-46.62904188
node/1731971676,Estações de bicicleta,-23.5654712,-46.7130398
node/2869109082,Estações de bicicleta,-23.547894499999998,-46.6905984
node/3296603056,Estações de bicicleta,-23.5667061,-46.7013166
